Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Jun 09 21:54:37 EDT 2021,BridgeScenePainter.java,1623290077840,72732,0,(F)2(I)1(F)1,0.25,0.0,0.0,75.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.041666666666666664,0.0,0.0,0.013888888888888888,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Jun 09 21:54:37 EDT 2021,BridgeScenePainter.java, 1623290077840
2,,Wed Jun 09 21:55:50 EDT 2021,AFactory.java,1623290150572,157426,0,(F)2(D)2(F)1(I)1,0.16666666666666666,33.33333333333333,0.0,50.0,0.0,0.0,0.03821656050955414,0.0,0.012738853503184714,0.01910828025477707,0.0,0.0,0.006369426751592357,0.0,[]
3,,Wed Jun 09 21:58:27 EDT 2021,AFactory.java,1623290307998,6770,6770,(I)20,1.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,[]
4,,Wed Jun 09 21:58:34 EDT 2021,AFactory.java,1623290314893,6459,6459,(I)5(R)1(I)4(R)2(I)12,0.875,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5,3.5,0.0,[]
5,,Wed Jun 09 21:58:41 EDT 2021,AFactory.java,1623290321452,14632,0,(I)1(R)1(I)19,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.07142857142857142,1.4285714285714286,0.0,[]
6,,Wed Jun 09 21:58:56 EDT 2021,AFactory.java,1623290336239,18345,0,(I)7(R)2(I)1(R)2(I)5(R)4(I)2,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,1.2777777777777777,0.0,0.0,0.0,0.0,0.4444444444444444,0.8333333333333334,0.0,[]
7,,Wed Jun 09 21:59:14 EDT 2021,AFactory.java,1623290354650,5936,5936,(I)19(R)1(I)4,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.2,4.6,0.0,[]
8,,Wed Jun 09 21:59:32 EDT 2021,AFactory.java,1623290372091,386,386,(I)12(R)1(I)3(R)2(I)1(R)1(I)1(R)1(I)2,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
9,,Wed Jun 09 21:59:33 EDT 2021,AFactory.java,1623290373223,14994,0,(I)2(R)1(I)6(R)1(I)6(R)1(I)6,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,1.6428571428571428,0.0,0.0,0.0,0.0,0.21428571428571427,1.4285714285714286,0.0,[]
10,,Wed Jun 09 21:59:48 EDT 2021,AFactory.java,1623290388344,5375,5375,(I)3(R)1(I)20,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.2,4.6,0.0,[]
11,,Wed Jun 09 21:59:53 EDT 2021,AFactory.java,1623290393805,6712,6712,(I)3(R)1(I)20,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.16666666666666666,3.8333333333333335,0.0,[]
12,,Wed Jun 09 22:00:00 EDT 2021,AFactory.java,1623290400614,7701,7701,(I)7(R)1(I)15,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,3.2857142857142856,0.0,0.0,0.0,0.0,0.14285714285714285,3.142857142857143,0.0,[]
13,,Wed Jun 09 22:00:08 EDT 2021,AFactory.java,1623290408488,7343,7343,(I)9(R)1(I)14,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,0.14285714285714285,3.2857142857142856,0.0,[]
