Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sun May 23 22:28:47 EDT 2021,Point.java,1621823327800,14841,0,(I)5(R)1(I)1(F)2(I)8,0.8235294117647058,0.0,0.0,11.76470588235294,0.0,0.0,1.2142857142857142,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,1.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Sun May 23 22:28:47 EDT 2021,Point.java, 1621823327800
2,,Sun May 23 22:29:02 EDT 2021,Point.java,1621823342737,10722,0,(I)1(R)1(I)7(R)2(I)7(R)1(I)1(R)1,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.5,1.6,0.0,[]
3,,Sun May 23 22:29:13 EDT 2021,Point.java,1621823353654,66348,0,(I)6(R)1(I)2(R)1(I)7(R)1(I)3,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.045454545454545456,0.2727272727272727,0.0,[]
4,,Sun May 23 22:30:20 EDT 2021,Point.java,1621823420262,14405,0,(I)7(R)1(I)14,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,0.0,0.0,0.0,0.0,0.07142857142857142,1.5,0.0,[]
5,,Sun May 23 22:30:45 EDT 2021,Point.java,1621823445254,4996,4996,(I)18(R)1(I)5,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.25,5.75,0.0,[]
6,,Sun May 23 22:30:50 EDT 2021,Point.java,1621823450491,7660,7660,(I)22,1.0,0.0,0.0,0.0,0.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,0.0,3.142857142857143,0.0,[]
7,,Sun May 23 22:30:59 EDT 2021,Point.java,1621823459064,10215,0,(I)1(R)6(I)6(R)3(I)6,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.9,1.3,0.0,[]
8,,Sun May 23 22:31:09 EDT 2021,Point.java,1621823469279,9958,9958,(I)10(R)1(I)10(R)1,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,2.4444444444444446,0.0,0.0,0.0,0.0,0.2222222222222222,2.2222222222222223,0.0,[]
9,,Sun May 23 22:31:24 EDT 2021,Point.java,1621823484157,16403,0,(I)1(R)1(I)3(R)1(I)8,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.125,0.75,0.0,[]
