Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Jun 09 23:42:35 EDT 2021,Grader.java,1623296555533,21374,0,(D)2(F)1(D)5,0.0,87.5,0.0,12.5,0.0,0.0,0.38095238095238093,0.0,0.3333333333333333,0.047619047619047616,0.0,0.0,0.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Jun 09 23:42:35 EDT 2021,Grader.java, 1623296555533
2,,Wed Jun 09 23:42:56 EDT 2021,Grader.java,1623296576907,34992403,0,(D)4(F)4,0.0,50.0,0.0,50.0,0.0,0.0,2.2862368541380886E-4,0.0,1.1431184270690443E-4,1.1431184270690443E-4,0.0,0.0,0.0,0.0,[]
3,,Thu Jun 10 09:26:09 EDT 2021,Grader.java,1623331569310,41662,0,(F)1(D)2(F)1(D)1(F)1(D)3(F)1(D)1,0.0,63.63636363636363,0.0,36.36363636363637,0.0,0.0,0.2682926829268293,0.0,0.17073170731707318,0.0975609756097561,0.0,0.0,0.0,0.0,[]
4,,Thu Jun 10 09:26:50 EDT 2021,AFactory.java,1623331610972,-35069441,-35069441,(D)2(F)3(I)2(R)6,0.15384615384615385,15.384615384615385,0.0,23.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
5,,Wed Jun 09 23:42:32 EDT 2021,AFactory.java,1623296552111,35159474,0,(R)1(I)1(R)8(I)9,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,5.404021729855798E-4,0.0,0.0,0.0,0.0,2.559799766773799E-4,2.844221963081999E-4,0.0,[]
6,,Thu Jun 10 09:28:31 EDT 2021,Grader.java,1623331711585,21323,0,(I)2(D)2(I)1(D)2(F)1(D)4,0.25,66.66666666666666,0.0,8.333333333333332,0.0,0.0,0.5714285714285714,0.0,0.38095238095238093,0.047619047619047616,0.0,0.0,0.14285714285714285,0.0,[]
26,,Thu Jun 10 09:38:20 EDT 2021,AGorgePainter.java,1623332300058,16311272,0,(I)2(F)4(I)3(F)3,0.4166666666666667,0.0,0.0,58.333333333333336,0.0,0.0,7.356998344675372E-4,0.0,0.0,4.2915823677273007E-4,0.0,0.0,3.065415976948072E-4,0.0,[]
27,,Thu Jun 10 14:10:35 EDT 2021,Grader.java,1623348635520,30501,0,(F)1(I)1(D)2(F)1(D)5,0.1,70.0,0.0,20.0,0.0,0.0,0.3333333333333333,0.0,0.23333333333333334,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,[]
28,,Thu Jun 10 14:11:06 EDT 2021,Grader.java,1623348666230,21185,0,(D)1(F)1(I)2(R)2(I)1(F)1(D)2,0.3,30.0,0.0,20.0,0.0,0.0,0.47619047619047616,0.0,0.14285714285714285,0.09523809523809523,0.0,0.09523809523809523,0.14285714285714285,0.0,[]
29,,Thu Jun 10 14:11:27 EDT 2021,Grader.java,1623348687452,19698,0,(F)1(D)2(F)1(D)5,0.0,77.77777777777779,0.0,22.22222222222222,0.0,0.0,0.47368421052631576,0.0,0.3684210526315789,0.10526315789473684,0.0,0.0,0.0,0.0,[]
30,,Thu Jun 10 14:11:47 EDT 2021,Grader.java,1623348707150,42406,0,(D)1(F)1(I)1(F)1(D)2(F)1(D)2(F)1,0.1,50.0,0.0,40.0,0.0,0.0,0.23809523809523808,0.0,0.11904761904761904,0.09523809523809523,0.0,0.0,0.023809523809523808,0.0,[]
31,,Thu Jun 10 14:12:29 EDT 2021,Grader.java,1623348749556,105853,0,(D)5(F)1(I)1(F)3(D)1(F)1,0.08333333333333333,50.0,0.0,41.66666666666667,0.0,0.0,0.11428571428571428,0.0,0.05714285714285714,0.047619047619047616,0.0,0.0,0.009523809523809525,0.0,[]
32,,Thu Jun 10 14:14:26 EDT 2021,Grader.java,1623348866669,3381617,0,(F)8(D)1(F)2,0.0,9.090909090909092,0.0,90.9090909090909,0.0,0.0,0.003253475303164744,0.0,2.957704821058858E-4,0.0029577048210588583,0.0,0.0,0.0,0.0,[]
33,,Thu Jun 10 15:10:48 EDT 2021,Grader.java,1623352248286,26245,0,(D)6(F)1,0.0,85.71428571428571,0.0,14.285714285714285,0.0,0.0,0.2692307692307692,0.0,0.23076923076923078,0.038461538461538464,0.0,0.0,0.0,0.0,[]
34,,Thu Jun 10 15:11:16 EDT 2021,Grader.java,1623352276005,53010,0,(F)1(I)4(D)4,0.4444444444444444,44.44444444444444,0.0,11.11111111111111,0.0,0.0,0.16981132075471697,0.0,0.07547169811320754,0.018867924528301886,0.0,0.0,0.07547169811320754,0.0,[]
35,,Thu Jun 10 15:12:09 EDT 2021,Grader.java,1623352329752,131648,0,(F)1(D)7(F)2,0.0,70.0,0.0,30.0,0.0,0.0,0.07633587786259542,0.0,0.05343511450381679,0.022900763358778626,0.0,0.0,0.0,0.0,[]
