#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Jun 10 16:31:01 EDT 2021,26,26,DelegatingPainter,A3MainCallsDelegatingViewFactoryMethod+ A3MainCallsObservablePainterFactoryMethod+ DelegatingViewFactoryMethodDefined+ ExistingPaintListener+ NewPaintListener+ ObservablePainterFactoryMethodDefined+ PaintListenerISAPropertyChangeListener+ PaintListenerPaintDefined+ PaintListenerRepaints+ TaggedDelegatingView+ TaggedLocatable+ TaggedObservablePainter+ , , ,A3MainCallsInheritingPainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent ConsoleSceneViewRegistersWithLocatables GalahadBridgeSceneController InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent LocatablePropertyChangeListenersProperty Locatable_IS_A_PropertyListenerRegisterer RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedInheritingPainter ,
1,Thu Jun 10 16:31:17 EDT 2021,57,31,BridgeSceneController,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController+ DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController+ LancelotBridgeSceneController+ NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController+ SceneControllerAccessesArthur+ SceneControllerAccessesGalahad+ SceneControllerAccessesLancelot+ SceneControllerAccessesRobin+ SceneControllerFactoryMethodDefined+ SceneControllerISAKeyListener+ SceneControllerISAMouseListener+ SceneControllerRegistersAsKeyListener+ SceneControllerRegistersAsMouseListener+ TaggedBridgeSceneController+ TaggedDelegatingView TaggedLocatable TaggedObservablePainter , , ,A3MainCallsInheritingPainterFactoryMethod BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent ConsoleSceneViewRegistersWithLocatables InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent LocatablePropertyChangeListenersProperty Locatable_IS_A_PropertyListenerRegisterer TaggedConsoleSceneView TaggedInheritingPainter ,
2,Thu Jun 10 16:31:34 EDT 2021,68,11,A3Observables,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent+ BoundedShapeInstantiatesPropertyChangeEvent+ DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent+ LocatableInstantiatesPropertyChangeEvent+ Locatable_IS_A_PropertyListenerRegisterer+ NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,LocatablePropertyChangeListenersProperty+ ,A3MainCallsInheritingPainterFactoryMethod ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent ConsoleSceneViewRegistersWithLocatables InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedConsoleSceneView TaggedInheritingPainter ,
3,Thu Jun 10 16:31:46 EDT 2021,77,9,A3ConsoleSceneView,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene+ ConsoleSceneViewISAPropertyChangeListener+ ConsoleSceneViewPrintsPropertyChangeEvent+ DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView+ TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,ConsoleSceneViewRegistersWithLocatables+ LocatablePropertyChangeListenersProperty ,A3MainCallsInheritingPainterFactoryMethod InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedInheritingPainter ,
4,Thu Jun 10 18:22:28 EDT 2021,67,0,DelegatingPainter,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty ,A3MainCallsInheritingPainterFactoryMethod AvatarTableFactoryMethodDefined BridgeSceneAvatarApproachCalled BridgeSceneCallsAvatarTableFactoryMethod BridgeSceneStringApproachMethodDefined InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TableIsGeneric TableSemantics TaggedInheritingPainter TaggedTable ,
5,Thu Jun 10 18:22:39 EDT 2021,67,0,A3ConsoleSceneView,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty ,A3MainCallsInheritingPainterFactoryMethod AvatarTableFactoryMethodDefined BridgeSceneAvatarApproachCalled BridgeSceneCallsAvatarTableFactoryMethod BridgeSceneStringApproachMethodDefined InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TableIsGeneric TableSemantics TaggedInheritingPainter TaggedTable ,
6,Thu Jun 10 18:22:53 EDT 2021,67,0,BridgeSceneController,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty ,A3MainCallsInheritingPainterFactoryMethod AvatarTableFactoryMethodDefined BridgeSceneAvatarApproachCalled BridgeSceneCallsAvatarTableFactoryMethod BridgeSceneStringApproachMethodDefined InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TableIsGeneric TableSemantics TaggedInheritingPainter TaggedTable ,
7,Thu Jun 10 18:23:03 EDT 2021,71,4,Table,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent BridgeSceneAvatarApproachCalled+ BridgeSceneStringApproachMethodDefined+ ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,AvatarTableFactoryMethodDefined+ BridgeSceneCallsAvatarTableFactoryMethod+ ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty TableIsGeneric+ TableSemantics+ TaggedTable+ ,A3MainCallsInheritingPainterFactoryMethod InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedInheritingPainter ,
8,Thu Jun 10 18:25:45 EDT 2021,71,0,Table,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent BridgeSceneAvatarApproachCalled BridgeSceneStringApproachMethodDefined ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,AvatarTableFactoryMethodDefined BridgeSceneCallsAvatarTableFactoryMethod ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty TableIsGeneric TableSemantics TaggedTable ,A3MainCallsInheritingPainterFactoryMethod InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedInheritingPainter ,
9,Thu Jun 10 18:28:26 EDT 2021,71,0,Table,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent BridgeSceneAvatarApproachCalled BridgeSceneStringApproachMethodDefined ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,AvatarTableFactoryMethodDefined BridgeSceneCallsAvatarTableFactoryMethod ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty TableIsGeneric TableSemantics TaggedTable ,A3MainCallsInheritingPainterFactoryMethod InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedInheritingPainter ,
